bar_idx,ts_ms,close,action,confidence,state,regime,ofi_z,hawkes,prob_above,prob_below
25,1701390720000,38771.1,HOLD,0.0,NORMAL,RANGING,1.3186,0.2,0.5,0.5
26,1701390840000,38775.4,HOLD,0.0,NORMAL,RANGING,-0.1652,0.2,0.5,0.5
27,1701391140000,38775.4,HOLD,0.0,NORMAL,RANGING,0.8955,0.2,0.5,0.5
28,1701391200000,38775.5,HOLD,0.0,NORMAL,RANGING,3.6458,0.2,0.5,0.5
29,1701391260000,38782.7,HOLD,0.0,NORMAL,RANGING,3.3479,0.1,0.5,0.5
30,1701391500000,38784.0,HOLD,0.0,NORMAL,RANGING,-0.2202,0.1,0.5,0.5
31,1701391560000,38801.7,HOLD,0.0,NORMAL,RANGING,-0.3278,0.2,0.5,0.5
33,1701391680000,38782.7,HOLD,0.0,NORMAL,RANGING,-0.1694,0.1,0.5,0.5
34,1701391740000,38782.7,HOLD,0.0,NORMAL,RANGING,0.1812,0.1,0.5,0.5
35,1701391800000,38782.7,HOLD,0.0,NORMAL,RANGING,0.1339,0.3,0.5,0.5
36,1701391860000,38782.7,HOLD,0.0,NORMAL,RANGING,3.4098,0.2,0.5,0.5
37,1701391920000,38782.6,HOLD,0.0,NORMAL,RANGING,-0.3978,0.1,0.5,0.5
38,1701392040000,38782.7,HOLD,0.0,NORMAL,RANGING,3.1662,0.5,0.5,0.5
39,1701392400000,38801.6,HOLD,0.0,NORMAL,RANGING,-2.9218,0.1,0.5,0.5
40,1701392460000,38782.7,HOLD,0.0,NORMAL,RANGING,2.1002,0.4,0.5,0.5
41,1701392520000,38780.1,HOLD,0.0,NORMAL,RANGING,-2.37,0.1,0.5,0.5
42,1701392580000,38780.1,HOLD,0.0,NORMAL,RANGING,-0.403,0.2,0.5,0.5
43,1701392760000,38795.6,HOLD,0.0,NORMAL,RANGING,2.4206,0.3,0.5,0.5
44,1701392880000,38803.0,HOLD,0.0,NORMAL,RANGING,-0.1544,0.2,0.5,0.5
45,1701392940000,38803.0,HOLD,0.0,NORMAL,RANGING,-0.2669,0.2,0.5,0.5
46,1701393000000,38803.0,HOLD,0.0,NORMAL,RANGING,2.1916,0.5,0.5,0.5
47,1701393060000,38803.0,HOLD,0.0,NORMAL,RANGING,-2.4341,0.1,0.5,0.5
48,1701393120000,38796.7,HOLD,0.0,NORMAL,RANGING,-0.2888,0.1,0.5,0.5
49,1701393180000,38796.5,HOLD,0.0,NORMAL,RANGING,-0.1588,0.2,0.5,0.5
50,1701393300000,38803.7,HOLD,0.0,NORMAL,RANGING,-0.0928,0.1,0.5,0.5
51,1701393360000,38811.9,HOLD,0.0,NORMAL,RANGING,2.5025,0.4,0.5,0.5
54,1701393600000,38895.8,HOLD,0.0,NORMAL,RANGING,0.2108,0.2,0.5,0.5
55,1701393660000,38911.9,HOLD,0.0,NORMAL,RANGING,-0.2408,0.3,0.5,0.5
56,1701393720000,38912.4,HOLD,0.0,NORMAL,RANGING,-0.2664,0.1,0.5,0.5
58,1701393840000,38925.2,HOLD,0.0,NORMAL,RANGING,0.1214,0.2,0.5,0.5
60,1701393960000,38970.0,BUY,0.7898,PRE_SWEEP_BUILDUP,UPTREND,-2.5311,2.0,0.8479,0.1521
61,1701394020000,38980.6,HOLD,0.0,NORMAL,UPTREND,1.9777,0.5,0.5,0.5
63,1701394140000,39019.7,HOLD,0.0,NORMAL,UPTREND,-0.2809,0.8,0.5,0.5
65,1701394260000,39053.2,HOLD,0.0,NORMAL,UPTREND,-0.3516,0.2,0.5,0.5
66,1701394320000,39050.0,HOLD,0.0,NORMAL,UPTREND,-0.3156,1.0,0.5,0.5
67,1701394380000,39019.6,HOLD,0.0,NORMAL,UPTREND,-2.5045,6.6,0.5,0.5
68,1701394440000,39020.0,HOLD,0.0,NORMAL,UPTREND,-0.2161,0.2,0.5,0.5
69,1701394500000,39055.6,HOLD,0.0,NORMAL,UPTREND,-0.2056,0.5,0.5,0.5
70,1701394560000,39078.5,HOLD,0.0,NORMAL,UPTREND,-0.1891,0.8,0.5,0.5
71,1701394620000,39087.9,HOLD,0.0,NORMAL,UPTREND,0.0065,0.9,0.5,0.5
72,1701394680000,39065.1,BUY,0.7912,PRE_SWEEP_BUILDUP,UPTREND,-0.2989,1.4,0.8719,0.1281
73,1701394740000,39078.5,HOLD,0.0,NORMAL,UPTREND,2.3253,0.3,0.5,0.5
74,1701394800000,39100.0,HOLD,0.0,NORMAL,UPTREND,-0.2425,0.8,0.5,0.5
75,1701394860000,39095.5,HOLD,0.0,NORMAL,UPTREND,-0.3133,0.1,0.5,0.5
76,1701394920000,39071.1,BUY,0.7642,PRE_SWEEP_BUILDUP,UPTREND,-0.3809,2.1,0.8411,0.1589
77,1701394980000,39078.2,HOLD,0.0,NORMAL,UPTREND,-0.109,0.4,0.5,0.5
78,1701395040000,39072.7,HOLD,0.0,NORMAL,UPTREND,-0.2626,1.2,0.5,0.5
79,1701395100000,39046.6,HOLD,0.0,NORMAL,UPTREND,-0.2733,0.9,0.5,0.5
80,1701395160000,39039.9,HOLD,0.0,NORMAL,UPTREND,-0.2498,1.8,0.5,0.5
81,1701395220000,39032.9,HOLD,0.0,NORMAL,RANGING,-0.2671,0.1,0.5,0.5
82,1701395280000,39006.8,HOLD,0.0,NORMAL,RANGING,-0.2022,1.6,0.5,0.5
83,1701395460000,39044.3,HOLD,0.0,NORMAL,RANGING,0.086,0.9,0.5,0.5
84,1701395520000,39080.8,HOLD,0.0,NORMAL,RANGING,-0.2225,1.0,0.5,0.5
85,1701395580000,39078.3,HOLD,0.0,NORMAL,RANGING,-0.3271,0.6,0.5,0.5
86,1701395760000,39078.4,HOLD,0.0,NORMAL,RANGING,-0.1538,0.5,0.5,0.5
87,1701395820000,39078.4,HOLD,0.0,NORMAL,RANGING,2.4025,0.2,0.5,0.5
88,1701395880000,39076.1,HOLD,0.0,NORMAL,RANGING,-2.6457,0.1,0.5,0.5
89,1701396000000,39065.1,HOLD,0.0,NORMAL,RANGING,-2.5968,1.0,0.5,0.5
90,1701396060000,39049.1,HOLD,0.0,NORMAL,RANGING,-0.1873,1.1,0.5,0.5
91,1701396120000,39062.1,HOLD,0.0,NORMAL,RANGING,-0.1711,0.9,0.5,0.5
92,1701396240000,39027.3,SELL,0.5702,PRE_SWEEP_BUILDUP,RANGING,-0.1885,1.4,0.3991,0.6009
93,1701396300000,39027.2,HOLD,0.0,NORMAL,RANGING,-0.295,0.4,0.5,0.5
94,1701396420000,39058.0,HOLD,0.0,NORMAL,RANGING,2.4208,0.6,0.5,0.5
95,1701396480000,39065.6,HOLD,0.0,NORMAL,RANGING,-0.1841,0.8,0.5,0.5
96,1701396540000,39060.1,HOLD,0.0,NORMAL,RANGING,-0.408,0.1,0.5,0.5
97,1701396720000,39052.8,HOLD,0.0,NORMAL,RANGING,-0.3966,0.1,0.5,0.5
98,1701396840000,39035.5,HOLD,0.0,NORMAL,RANGING,-0.2074,0.4,0.5,0.5
99,1701396900000,39033.5,HOLD,0.0,NORMAL,RANGING,-0.2002,0.1,0.5,0.5
100,1701397200000,39033.4,HOLD,0.0,NORMAL,RANGING,-0.2217,0.1,0.5,0.5
101,1701397260000,39033.5,HOLD,0.0,NORMAL,RANGING,-0.209,0.3,0.5,0.5
