i,ts_ms,close,action,conviction,urgency,edge_bps,rationale,regime,dominant_tf,agreement,conflict
30,1701391500000,38784.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
31,1701391560000,38801.7,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
32,1701391620000,38782.7,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
33,1701391680000,38782.7,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
34,1701391740000,38782.7,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
35,1701391800000,38782.7,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
36,1701391860000,38782.7,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
37,1701391920000,38782.6,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
38,1701392040000,38782.7,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
39,1701392400000,38801.6,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
40,1701392460000,38782.7,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
41,1701392520000,38780.1,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
42,1701392580000,38780.1,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
43,1701392760000,38795.6,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
44,1701392880000,38803.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
45,1701392940000,38803.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
46,1701393000000,38803.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
47,1701393060000,38803.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
48,1701393120000,38796.7,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
49,1701393180000,38796.5,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
50,1701393300000,38803.7,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
51,1701393360000,38811.9,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
52,1701393420000,38814.2,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
53,1701393480000,38860.8,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
54,1701393600000,38895.8,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
55,1701393660000,38911.9,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
56,1701393720000,38912.4,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
57,1701393780000,38925.2,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
58,1701393840000,38925.2,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
59,1701393900000,38985.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
60,1701393960000,38970.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
61,1701394020000,38980.6,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
62,1701394080000,39014.3,HOLD,0.0,0.0,0.0,insufficient_liquidity,trend,,0.0,0.0
63,1701394140000,39019.7,HOLD,0.0,0.0,0.0,insufficient_liquidity,trend,,0.0,0.0
64,1701394200000,39053.5,HOLD,0.0,0.0,0.0,insufficient_liquidity,trend,,0.0,0.0
