entry_i,exit_i,direction,entry_p,exit_p,gross,net,pnl_amount,held_bars,balance_after,entry_conviction,regime
421,422,-1,39414.87199,39448.63104,-0.0008565053822467221,-0.0024565053822467224,-24.565053822467224,1,9975.434946177533,0.4,range
423,435,1,39458.934129999994,39509.743519999996,0.0012876523687286475,-0.0003123476312713526,-3.1158034763400253,12,9972.319142701193,0.4,range
482,484,1,39851.75194,39783.361410000005,-0.0017161235496739103,-0.0033161235496739104,-33.06944235397537,2,9939.249700347218,0.4,range
505,506,-1,39975.20384,40063.31539,-0.0022041551145721796,-0.00380415511457218,-37.81044758258587,1,9901.439252764632,0.4,trend
507,516,-1,39988.0,39919.47225,0.0017137078623587353,0.0001137078623587352,1.1258714917067387,9,9902.56512425634,0.4,trend
517,521,-1,39857.539150000004,39871.157759999995,-0.00034168215826717535,-0.0019416821582671755,-19.22763402284731,4,9883.337490233493,0.4,range
522,525,-1,39819.35061,39896.76544,-0.0019441509922705775,-0.0035441509922705776,-35.028040372956035,3,9848.309449860537,0.4,trend
640,641,-1,39746.37251,39781.53088,-0.0008845680191607849,-0.002484568019160785,-24.468794701922434,1,9823.840655158614,0.4,range
642,645,1,39793.734540000005,39757.56915,-0.0009088212106267403,-0.0025088212106267405,-24.646259805479225,3,9799.194395353135,0.4,range
646,648,-1,39719.28064,39768.42695,-0.0012373413920923348,-0.002837341392092335,-27.80365986709467,2,9771.39073548604,0.4,range
649,661,-1,39697.78709,39532.056059999995,0.004174817846250952,0.002574817846250952,25.159551248420673,12,9796.55028673446,0.4,range
664,666,1,39525.55411,39501.84589,-0.0005998200539838159,-0.002199820053983816,-21.550647780619368,2,9774.999638953841,0.4,trend
667,668,1,39570.66764,39516.54148,-0.0013678354000094348,-0.0029678354000094347,-29.01058996356665,1,9745.989048990274,0.4,trend
854,866,1,39984.39172,39971.90483,-0.0003122941093475294,-0.0019122941093475294,-18.63719744814963,12,9727.351851542124,1.0,trend
871,873,-1,39898.426880000006,40020.80264,-0.003067182582613025,-0.004667182582613025,-45.39932713646596,2,9681.952524405659,1.0,trend
1964,1965,1,40561.1647,40397.47712,-0.004035573958752668,-0.005635573958752668,-54.563359516420185,1,9627.389164889239,0.34438368320610696,toxic
1966,1969,-1,40292.608589999996,40421.722879999994,-0.0032044162569320935,-0.004804416256932093,-46.25398501560575,3,9581.135179873632,0.5170933683206107,toxic
2065,2069,1,40844.14957,40742.97344,-0.002477126615810692,-0.004077126615810692,-39.063501251542945,4,9542.07167862209,1.0,range
2071,2081,-1,40706.684330000004,40678.1998,0.000699750679006028,-0.0009002493209939721,-8.590243549555346,10,9533.481435072534,0.4,range
2082,2094,1,40731.11567,40704.58496000001,-0.0006513622218193419,-0.002251362221819342,-21.463319945338352,12,9512.018115127195,0.4,range
2130,2134,-1,40647.50209,40661.894909999995,-0.00035408867113471525,-0.001954088671134715,-18.58732683839824,4,9493.430788288797,0.4,range
2139,2151,1,40676.89941,40685.09081,0.0002013771973482711,-0.001398622802651729,-13.277728775896689,12,9480.1530595129,0.4,range
2388,2394,-1,40589.41952,40646.59032,-0.0014085148463832938,-0.0030085148463832936,-28.521181225530565,6,9451.63187828737,0.4,range
2396,2408,-1,40620.41022,40652.191999999995,-0.0007824091344195569,-0.002382409134419557,-22.517654122002902,12,9429.114224165367,0.4,range
2922,2923,-1,40987.79997,41057.3135,-0.0016959566029617406,-0.0032959566029617405,-31.077951287218312,1,9398.03627287815,0.4,range
2924,2925,-1,41003.19535,41092.324,-0.0021737001040822235,-0.0037737001040822234,-35.465370461128785,1,9362.570902417021,0.4,range
2926,2930,-1,40987.700000000004,40967.886679999996,0.0004833967263351783,-0.0011166032736648218,-10.45427731955785,4,9352.116625097464,0.4,range
2933,2937,-1,40909.32352,40967.886679999996,-0.0014315357713350397,-0.00303153577133504,-28.35127608668009,4,9323.765349010784,0.4,range
3229,3236,-1,41268.6157,41317.89165,-0.0011940296315777717,-0.002794029631577772,-26.050876663014197,7,9297.71447234777,0.6,trend
3238,3250,1,41370.10730999999,41318.80064,-0.0012401870175373943,-0.0028401870175373944,-26.407247937131682,12,9271.307224410639,0.4,range
3266,3278,1,41164.445629999995,41239.024580000005,0.0018117321600866678,0.00021173216008666773,1.9630339054515924,12,9273.27025831609,0.4,trend
3368,3380,1,41737.31744,42022.589439999996,0.006834938551335828,0.005234938551335828,48.54499997221485,12,9321.815258288305,0.4,trend
3394,3406,-1,42073.77408,41996.29511,0.001841502734047189,0.0002415027340471889,2.2512438711594283,12,9324.066502159465,0.4,trend
3407,3413,-1,41920.220160000004,41928.17468,-0.00018975377442273535,-0.0017897537744227354,-16.687783215208494,6,9307.378718944257,1.0,range
3425,3426,-1,41870.4351,41929.174979999996,-0.0014028963362741295,-0.0030028963362741298,-27.949093455433513,1,9279.429625488823,0.4,range
3433,3445,1,41938.5778,41958.10879,0.00046570463340793813,-0.0011342953665920618,-10.525614028809084,12,9268.904011460014,0.4,range
3447,3459,1,42047.71053,42077.772880000004,0.0007149580707505748,-0.0008850419292494253,-8.203368688330308,12,9260.700642771684,1.0,range
3472,3484,-1,42112.162560000004,42136.93729,-0.0005883034376280048,-0.002188303437628005,-20.265223051421152,12,9240.435419720263,0.4,range
3569,3570,-1,42222.02959,42285.28178,-0.001498085018986868,-0.003098085018986868,-28.627654542750978,1,9211.807765177511,0.4,range
3572,3573,1,42362.705,42278.41267,-0.001989776856789571,-0.003589776856789571,-33.06833432462869,1,9178.739430852882,0.4,range
3586,3588,1,42712.70997,42612.71235,-0.0023411677711443956,-0.0039411677711443955,-36.17495202460963,2,9142.564478828272,0.3903758880857371,toxic
3594,3595,1,43000.49628,42867.136,-0.003101366066373241,-0.004701366066373241,-42.982542400392596,1,9099.58193642788,0.9753027607776736,toxic
