i,timestamp_ms,close,log_return,regime_label,signal_valid,confidence,conviction,position_size,signed_position_size,execution_side,engine_status,expected_volatility,edge_score,prob_bull,prob_bear,prob_crisis
1,1701388860000,38898.7,0.0006454740536532335,BEAR,True,0.9999999999776292,0.9999999994765434,0.0,0.0,flat,OK,0.02389544853918132,0.1649409631473681,1.0048646052254943e-12,0.9999999999776292,2.136593742934146e-11
2,1701388920000,38838.6,-0.0015462335834692902,BEAR,True,0.9999999999578488,0.9999999990406941,0.0,0.0,flat,OK,0.025275527810421423,0.2844730202241017,1.0117328144121542e-12,0.9999999999578488,4.113943418455295e-11
3,1701388980000,38860.7,0.0005688597090568633,BEAR,True,0.9999999999979649,0.9999999999469928,0.0,0.0,flat,OK,0.024935074362723807,0.38316274691476715,1.0088004360013428e-12,0.9999999999979649,1.0264013080020763e-12
4,1701389040000,38860.7,0.0,BEAR,True,0.999999988351763,0.9999997956968547,0.0,0.0,flat,OK,0.023748594691370396,0.4727928453094801,1.0065858372136506e-12,0.9999999883517631,1.1647230303639218e-08
5,1701389100000,38835.3,-0.0006538303363070386,BEAR,True,0.9999999999979802,0.99999999994738,0.0,0.0,flat,OK,0.022386690547759366,0.5567540613177497,1.0049494504381514e-12,0.9999999999979802,1.0148483513124956e-12
6,1701389280000,38829.1,-0.00015966131234324072,BEAR,True,0.9999999948322665,0.9999999055335815,0.0,0.0,flat,OK,0.02115489552396238,0.6350091893385384,1.0037110389059669e-12,0.9999999948322665,5.1667297904278345e-09
7,1701389340000,38814.1,-0.0003863828432267788,BEAR,True,0.9999998220013602,0.9999973199136324,0.138157772607137,-0.138157772607137,short,OK,0.020104799046485194,0.707064160052464,1.0029062918454709e-12,0.9999998220013602,1.7799763701982442e-07
8,1701389460000,38771.2,-0.001105879705875212,BEAR,True,0.9999999994469747,0.9999999887599408,0.14965768692889772,-0.14965768692889772,short,OK,0.01919830413242701,0.7656513280419712,1.0083634651786331e-12,0.9999999994469747,5.520168830140407e-10
9,1701389520000,38771.3,2.5792307445468474e-06,BEAR,True,0.9999999999979748,0.9999999999472482,0.1575391516669298,-0.1575391516669298,short,OK,0.018386954712212678,0.812521062433577,1.0062596193986087e-12,0.999999999997975,1.0187788581938445e-12
10,1701389640000,38766.8,-0.00011607196991037956,BEAR,True,0.9999999999744501,0.9999999994056513,0.16292440284396495,-0.16292440284396495,short,OK,0.017649479459267568,0.8500168499468617,1.0046910234168044e-12,0.9999999999744501,2.4545253323499104e-11
11,1701389700000,38766.7,-2.579530138692929e-06,BEAR,True,0.9999999149973554,0.9999986629426082,0.1666117672022961,-0.1666117672022961,short,OK,0.016973106863368004,0.8800134799574895,1.0035142060819551e-12,0.9999999149973554,8.500164105832904e-08
12,1701389820000,38766.8,2.5795301387278684e-06,BEAR,True,0.9999999585900451,0.9999993215256402,0.16914753181789735,-0.16914753181789735,short,OK,0.01635173564880526,0.9040107839659917,1.002633386781009e-12,0.9999999585900451,4.1408952369360954e-08
13,1701389880000,38766.7,-2.579530138692929e-06,BEAR,True,0.9999999051974211,0.9999985182105995,0.17090020949394213,-0.17090020949394213,short,OK,0.015781796013778614,0.9232086271727933,1.0019737743738602e-12,0.9999999051974211,9.480157699333194e-08
14,1701389940000,38766.7,0.0,BEAR,True,0.9999999993192134,0.9999999862934298,0.172117749522067,-0.172117749522067,short,OK,0.015265676216437225,0.9385669017382348,1.0014796010968571e-12,0.9999999993192134,6.797850763852586e-10
15,1701390000000,38769.8,7.996234035990518e-05,BEAR,True,0.9999999996774149,0.9999999932830246,0.15059288325775977,-0.15059288325775977,short,OK,0.014802445126386845,0.7708535213905878,1.0011098824963876e-12,0.9999999996774149,3.215839759163916e-10
16,1701390060000,38766.7,-7.996234035988012e-05,BEAR,True,0.9999999998939999,0.9999999976823225,0.0,0.0,flat,OK,0.014382439839509436,0.6366828171124703,1.0008326249573459e-12,0.9999999998939999,1.0499928719741842e-10
17,1701390120000,38766.7,0.0,BEAR,True,0.999999999897141,0.9999999977480609,0.0,0.0,flat,OK,0.014002631365333322,0.5293462536899765,1.000624338758007e-12,0.999999999897141,1.0185842292965359e-10
18,1701390180000,38769.8,7.996234035990518e-05,BEAR,True,0.9999999999979976,0.9999999999478175,0.0,0.0,flat,OK,0.013659998643751406,0.44347700295198117,1.0006000774296646e-12,0.9999999999979976,1.0018002322870157e-12
19,1701390240000,38766.7,-7.996234035988012e-05,BEAR,True,0.9999999999979976,0.9999999999478175,0.0,0.0,flat,OK,0.013351518821677677,0.37478160236158503,1.0006000774296644e-12,0.9999999999979976,1.0018002322870205e-12
20,1701390300000,38769.0,5.932750979690622e-05,BEAR,True,0.999999999934059,0.9999999985282058,0.0,0.0,flat,OK,0.013074275278490527,0.31982528188926806,1.0004501686237846e-12,0.999999999934059,6.49405989119598e-11
21,1701390420000,38766.8,-5.6747979658160675e-05,BEAR,True,0.9999999999979983,0.999999999947835,0.0,0.0,flat,OK,0.012825498256321932,0.2758602255114145,1.0004257910683063e-12,0.9999999999979983,1.0012773732037343e-12
22,1701390480000,38766.7,-2.579530138692929e-06,BEAR,True,0.9999999999979987,0.9999999999478457,0.0,0.0,flat,OK,0.012602563796033715,0.2406881804091316,1.00031931480434e-12,0.9999999999979987,1.0009579444110516e-12
23,1701390540000,38779.2,0.0003223897100496576,BEAR,True,0.9999999999973912,0.9999999999327067,0.0,0.0,flat,OK,0.012403253605413566,0.2125505443273053,1.0024237833464356e-12,0.9999999999973912,1.6063935694981526e-12
24,1701390600000,38756.6,-0.0005829565346594909,BEAR,True,0.9999999999946977,0.999999999867524,0.0,0.0,flat,OK,0.012225561822662826,0.1900404354618443,1.004391373860547e-12,0.9999999999946977,4.297939468698125e-12
25,1701390720000,38771.1,0.00037405985651760754,BEAR,True,0.9999999079641636,0.9999985589739127,0.0,0.0,flat,OK,0.012066401282370135,0.17203234836947545,1.0032981489102351e-12,0.9999999079641636,9.203483316234475e-08
26,1701390840000,38775.4,0.00011090120132852692,BEAR,True,0.9999999845507561,0.9999997330036522,0.0,0.0,flat,OK,0.011924055814824213,0.15762587869558037,1.0024734061983388e-12,0.9999999845507561,1.5448241460428523e-08
27,1701391140000,38775.4,0.0,BEAR,True,0.9999999999979926,0.9999999999476914,0.0,0.0,flat,OK,0.011797048185148363,0.14610070295646432,1.001853908367134e-12,0.9999999999979926,1.0055617250998132e-12
28,1701391200000,38775.5,2.578951372520216e-06,BEAR,True,0.9999999999979945,0.999999999947738,0.0,0.0,flat,OK,0.011683805806648774,0.1368805623651715,1.0013898110686804e-12,0.9999999999979945,1.0041694332044303e-12
29,1701391260000,38782.7,0.00018566702220224117,BEAR,True,0.9999998793493075,0.99999814067879,0.0,0.0,flat,OK,0.011582954725011474,0.12950444989213722,1.001394443930792e-12,0.9999998793493075,1.2064969118614632e-07
30,1701391500000,38784.0,3.351953867130495e-05,BEAR,True,0.9999999999760809,0.9999999994419815,0.0,0.0,flat,OK,0.011493022060717865,0.1236035599137098,1.0010457027319782e-12,0.999999999976081,2.2917901603497798e-11
31,1701391560000,38801.7,0.0004562696555438929,BEAR,True,0.9999999999958146,0.9999999998942785,0.0,0.0,flat,OK,0.011413383771009832,0.11888284793096787,1.0034337728642583e-12,0.9999999999958146,3.1820151112424627e-12
32,1701391620000,38782.7,-0.0004897891942150835,BEAR,True,0.9999999999979853,0.999999999947507,0.0,0.0,flat,OK,0.011342527828011064,0.11510627834477433,1.0036869627153295e-12,0.9999999999979853,1.0110608881440821e-12
