scenario,tick,regime,uncertainty,conviction,edge_score,directional_margin,trend_score,range_score,bull,bear,crisis
TREND,99,BEAR,0.8393862091729333,0.1928602762677727,0.6008480811096394,0.4015406805935592,0.5237599566469726,0.2761665665342251,0.6206165078318177,0.21907582723825847,0.16030766492992393
TOXIC,69,BEAR,0.8388741854374037,0.1935018527774098,0.6018304931551828,0.4018727638734213,0.5242086127816395,0.2757447285564686,0.6210159298909689,0.21914316601754757,0.15984090409148352
BEAR,95,BEAR,0.8385713699711949,0.19375777840915268,0.602524342605487,0.4005379761270197,0.5240290108217238,0.27728552655099237,0.6209580090293499,0.22042003290233028,0.15862195806831975
TREND,110,BEAR,0.8386045994706174,0.19429266437372913,0.6017243617611667,0.4076604876773728,0.5259989265788159,0.26896698321263934,0.2145740719064469,0.6222345595838197,0.1631913685097335
TREND,294,BEAR,0.8379899780290071,0.19452254333507488,0.6035989986593672,0.401364322633117,0.5246666022752224,0.27628150202621904,0.6214952694569644,0.22013094682384743,0.1583737837191882
TREND,27,BEAR,0.8379087631901716,0.194679105428065,0.6037055837974856,0.40209291087672944,0.5249344380146952,0.2754242866295158,0.6216886586224533,0.21959574774572382,0.15871559363182292
BEAR,126,BEAR,0.8378857302591618,0.1946817948775614,0.60377264323533,0.4017848051104549,0.5248604369917523,0.27578304857107266,0.219859450408587,0.6216442555190419,0.1584962940723711
TREND,82,BEAR,0.837748725056045,0.19471713868503482,0.604136389278688,0.40019240221433394,0.5244836758484935,0.2776366890962491,0.22122808135833438,0.6214204835726683,0.15735143506899732
BEAR,150,BEAR,0.8375765102127316,0.19499975870684866,0.6044148395931122,0.4011275581167051,0.5248772435136037,0.2765317164201568,0.22058835933961837,0.6217159174563235,0.15769572320405817
TREND,179,TREND,0.8377151460663848,0.19504143187535922,0.603956518880592,0.4036923612741271,0.5255280497925094,0.27354189941112805,0.6221188512362582,0.2184264899621311,0.15945465880161067
TREND,223,BEAR,0.8375430641438065,0.19504716766100433,0.6044740016821948,0.4012168718196144,0.5249262275626086,0.27642509846194524,0.6217549894549814,0.22053811763536701,0.15770689290965162
TREND,122,TREND,0.8370821099400395,0.19568449641069174,0.6052999108967375,0.4022468783345007,0.5255414059845332,0.27519074385485204,0.622253460604721,0.2200065822702203,0.15773995712505873
BEAR,131,BEAR,0.8371791951053391,0.19568804327039518,0.6050045534347674,0.4037228337864834,0.5259047460845085,0.27347126129901134,0.2187519646788439,0.6224747984653273,0.15877323685582895
TREND,40,BEAR,0.837154977019057,0.19586686303130657,0.6048886518609704,0.40556155104878944,0.5264450966511056,0.271320760959136,0.21727300229877175,0.6228345533475612,0.1598924443536671
BEAR,371,BEAR,0.837250524122991,0.19609657182198836,0.6041855889459166,0.40979666159023387,0.5275343937978045,0.26638205853857877,0.21372114473628898,0.6235178063265229,0.1627610489371881
BEAR,52,TREND,0.8369896933165969,0.19609905610284237,0.605175148207258,0.4059712553477234,0.5266748599413628,0.27083117421067554,0.6230188213944261,0.21704756604670272,0.15993361255887117
TREND,92,BEAR,0.8365860685610893,0.1961070339420454,0.6063591907984458,0.4001262587009776,0.5252409573431887,0.2776400938620731,0.6221470863180271,0.22202082761704944,0.15583208606492344
TREND,15,BEAR,0.8364383895752145,0.1962834067332039,0.6066393273000915,0.4001158489872624,0.5253357762316266,0.2776429526932545,0.6222382097139374,0.222122360726675,0.15563942955938767
BEAR,102,BEAR,0.8366491561833114,0.19634267154722554,0.6060209669916776,0.4039382590219142,0.5263289605039374,0.2731849742796012,0.2189220194300598,0.622860278451974,0.15821770211796632
TREND,23,BEAR,0.8360708466069218,0.19683797330692737,0.6072793055206697,0.4015005169329288,0.5259985974074802,0.2759992508095628,0.22125103024276233,0.6227515471756911,0.1559974225815466
BEAR,31,TREND,0.8362174554922146,0.19687197905040257,0.6068492185715063,0.4040654593816531,0.5266594540054578,0.27300832947211284,0.6231639223898603,0.21909846300820718,0.15773761460193253
BEAR,402,BEAR,0.8360530593666493,0.19693041343525342,0.6072705820270979,0.4023676522963199,0.526270058220798,0.2749835479919086,0.22056886637691545,0.6229365186732353,0.15649461494984931
TREND,60,BEAR,0.8360381722071377,0.19694659699381983,0.6073001225802142,0.4023469321484775,0.5262738531494697,0.2750068404133601,0.6229418761589082,0.22059494401043064,0.1564631798306611
TREND,173,BEAR,0.8358910283825122,0.19695722061598372,0.6076654312610271,0.4003224037630312,0.5257606993223166,0.2773667358822808,0.22230259413930128,0.6226249979023325,0.15507240795836624
BEAR,227,BEAR,0.8358582465938034,0.1971333918840966,0.6076609524152554,0.4019895948870067,0.5262872001182126,0.2754134929102152,0.22099513481026323,0.6229847296972699,0.15602013549246682
TREND,51,BEAR,0.83570103854066,0.1971779032768461,0.6080255026238652,0.4002331058634579,0.5258585703249513,0.2774593608758529,0.6227256738117043,0.2224925679482464,0.15478175824004933
TREND,59,BEAR,0.8356467492946873,0.1972479712981116,0.608125673131498,0.4002929111731356,0.5259126268093864,0.2773859499710929,0.622772021798012,0.2224791106248765,0.15474886757711145
TREND,77,BEAR,0.8356385427776853,0.19725892464770056,0.6081406834246409,0.4003063489622015,0.5259221457207904,0.27736970501846586,0.22247358778782245,0.622779936750024,0.15474647546215356
BEAR,155,BEAR,0.8361256930872343,0.19734351738580025,0.6066235333190211,0.4084741666166254,0.5279724646382128,0.2678503170035532,0.21556974725665048,0.6240439138732758,0.16038633887007359
TREND,63,TREND,0.8357217793160288,0.19748084922529963,0.6077955749610408,0.4042243506545111,0.5270414628699989,0.2727906166510965,0.6235138009621577,0.2192894503076466,0.1571967487301958
TREND,117,TREND,0.8357678915825053,0.19751155953020338,0.6076313768593256,0.4052733833034517,0.5273154872714936,0.2715669733341449,0.6236863586688564,0.21841297536540466,0.15790066596573896
BEAR,34,BEAR,0.8353321331974478,0.1976230450535065,0.6087161083214221,0.4002624056637569,0.5261098861153708,0.27740201108658413,0.22269981833719774,0.6229622240009547,0.15433795766184755
BEAR,392,BEAR,0.8355109861849923,0.19763643189719196,0.6082702119577879,0.40303503940346397,0.5268316769572818,0.27416827176701514,0.22037928978654917,0.6234143291900132,0.15620638102343762
TREND,66,BEAR,0.8353566836495827,0.1976449801228209,0.6086522644118988,0.400886771524509,0.5262853739468516,0.2766725905500536,0.6230762219676099,0.2221894504431009,0.15473432758928926
BEAR,11,BEAR,0.8353324004143731,0.19764917028405923,0.6087069061698906,0.4005836094219851,0.526208461676304,0.27702597408824453,0.623028750764727,0.22244514134274188,0.15452610789253113
