agg_trade_id,price,quantity,first_trade_id,last_trade_id,transact_time,is_buyer_maker
1860983,68859.0,0.006,2717453,2717454,1774569603838,true
1860984,68857.5,0.024,2717455,2717455,1774569603838,true
1860985,68863.9,0.001,2717456,2717456,1774569605417,false
1860986,68863.8,0.001,2717457,2717457,1774569613224,false
1860987,68807.3,0.02,2717458,2717458,1774569639958,true
1860988,68797.5,0.001,2717459,2717459,1774569639965,true
1860989,68790.0,0.001,2717460,2717460,1774569639965,true
1860990,68801.8,0.168,2717461,2717461,1774569640154,false
1860991,68778.0,0.004,2717462,2717462,1774569643624,true
1860992,68776.2,0.001,2717463,2717463,1774569643628,true
1860993,68769.6,0.008,2717464,2717465,1774569643628,true
1860994,68769.3,0.001,2717466,2717466,1774569643631,true
1860995,68762.4,0.001,2717467,2717467,1774569643644,true
1860996,68769.7,0.004,2717468,2717468,1774569643685,true
1860997,68783.1,0.001,2717469,2717469,1774569647146,true
1860998,68779.9,0.023,2717470,2717475,1774569647146,true
1860999,68769.3,0.001,2717476,2717476,1774569659361,true
1861000,68760.0,0.011,2717477,2717479,1774569659365,true
1861001,68750.0,0.001,2717480,2717480,1774569659368,true
1861002,68739.0,0.001,2717481,2717481,1774569659368,true
1861003,68734.8,0.001,2717482,2717482,1774569659368,true
1861004,68722.4,0.014,2717483,2717484,1774569659375,true
1861005,68721.0,0.001,2717485,2717485,1774569659376,true
1861006,68718.2,0.004,2717486,2717486,1774569659394,true
1861007,68724.3,0.004,2717487,2717487,1774569659435,false
1861008,68787.1,0.002,2717488,2717489,1774569660718,true
1861009,68776.2,0.001,2717490,2717490,1774569661122,true
1861010,68767.4,0.001,2717491,2717491,1774569681653,true
1861011,68785.5,0.001,2717492,2717492,1774569701193,true
1861012,68787.9,0.015,2717493,2717493,1774569757565,false
1861013,68794.8,0.016,2717494,2717494,1774569757804,false
1861014,68798.1,0.005,2717495,2717495,1774569767635,false
1861015,68801.7,0.005,2717496,2717496,1774569767635,false
1861016,68801.8,0.005,2717497,2717497,1774569767635,false
1861017,68815.5,0.031,2717498,2717498,1774569769437,false
1861018,68797.0,0.087,2717499,2717499,1774569796784,false
1861019,68797.0,0.07,2717500,2717500,1774569811496,false
1861020,68803.5,0.07,2717501,2717503,1774569812646,false
1861021,68797.0,0.04,2717504,2717506,1774569814066,false
1861022,68798.7,0.07,2717507,2717507,1774569814643,false
